"id","station_code","station_name","latitude","longitude","level"
180,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/WX4iuiyQmwV","Amazon Clinic",NULL,NULL,4
181,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/wzZvw0u6fe2","Saphila Council Clinic",NULL,NULL,4
182,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/xGshYPXKdF6","Shangani Rural Hospital",NULL,NULL,4
183,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/y6M9rtUuWa9","Gwatemba Rural Health Centre",NULL,NULL,4
184,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/YAoTF1MIrjU","Singwango Clinic",NULL,NULL,4
185,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/ZaWOfFs5CGk","Insiza PBS Clinic",NULL,NULL,4
186,"/Z9zOAr1dQ8K/kUS61oPWPF9/Umg8MchY5Yr/ZzNvcMVOVP3","Mabuze Rural Health Centre",NULL,NULL,4
187,"/Z9zOAr1dQ8K/MVEckxDrWZS","Midlands",NULL,NULL,2
188,"/Z9zOAr1dQ8K/MVEckxDrWZS/a6KxeLEZSxs","Kwekwe",NULL,NULL,3
189,"/Z9zOAr1dQ8K/MVEckxDrWZS/a6KxeLEZSxs/A2VmYuwHVAw","Malisa Josefa Clinic",NULL,NULL,4
190,"/Z9zOAr1dQ8K/MVEckxDrWZS/a6KxeLEZSxs/A4XNUkiCCCp","Jackson Clinic",NULL,NULL,4
191,"/Z9zOAr1dQ8K/MVEckxDrWZS/a6KxeLEZSxs/ANNzC8MbOqF","Donga Clinic",NULL,NULL,4
192,"/Z9zOAr1dQ8K/MVEckxDrWZS/a6KxeLEZSxs/blbFyrowZRf","Munyati Clinic",NULL,NULL,4
